service_id,date,exception_type
27,20130807,1
27,20130808,1
27,20130812,1
27,20130813,1
27,20130814,1
27,20130815,1
27,20130819,1
27,20130820,1
27,20130821,1
27,20130822,1
27,20130826,1
27,20130827,1
27,20130828,1
27,20130829,1
27,20130903,1
27,20130904,1
27,20130905,1
27,20130906,1
27,20130909,1
27,20130910,1
27,20130911,1
27,20130912,1
27,20130913,1
27,20130916,1
27,20130917,1
27,20130918,1
27,20130919,1
27,20130920,1
27,20130923,1
27,20130924,1
27,20130925,1
27,20130926,1
27,20130927,1
27,20130930,1
28,20130629,1
28,20130630,1
28,20130704,1
28,20130706,1
28,20130707,1
28,20130713,1
28,20130714,1
28,20130720,1
28,20130721,1
28,20130727,1
28,20130728,1
28,20130803,1
28,20130804,1
28,20130810,1
28,20130811,1
28,20130817,1
28,20130818,1
28,20130824,1
28,20130825,1
28,20130831,1
28,20130901,1
28,20130902,1
28,20130907,1
28,20130908,1
29,20130406,1
29,20130413,1
29,20130420,1
29,20130427,1
29,20130504,1
29,20130511,1
29,20130518,1
29,20130525,1
29,20130526,1
29,20130601,1
29,20130608,1
29,20130615,1
29,20130622,1
29,20130629,1
29,20130703,1
29,20130706,1
29,20130713,1
29,20130720,1
29,20130727,1
29,20130803,1
29,20130810,1
29,20130817,1
29,20130824,1
29,20130831,1
29,20130901,1
29,20130907,1
29,20130914,1
29,20130921,1
29,20130928,1
30,20130407,1
30,20130414,1
30,20130421,1
30,20130428,1
30,20130505,1
30,20130512,1
30,20130519,1
30,20130527,1
30,20130602,1
30,20130609,1
30,20130616,1
30,20130623,1
30,20130630,1
30,20130707,1
30,20130714,1
30,20130721,1
30,20130728,1
30,20130804,1
30,20130811,1
30,20130818,1
30,20130825,1
30,20130902,1
30,20130908,1
30,20130915,1
30,20130922,1
30,20130929,1
31,20130407,1
