route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
15,2,3897,"HIGH BRIDGE",1,"5719",1339
15,2,3898,"HIGH BRIDGE",1,"5729",1340
15,2,3899,"HIGH BRIDGE",1,"5733",1341
15,2,3900,"HIGH BRIDGE",1,"5753",1342
15,3,3901,"RARITAN",1,"5511",1343
15,3,3902,"RARITAN",1,"5513",1344
15,3,3903,"RARITAN",1,"5515",1345
15,3,3904,"RARITAN",1,"5517",1346
15,3,3905,"RARITAN",1,"5519",1347
15,3,3906,"RARITAN",1,"5521",1348
15,3,3907,"RARITAN",1,"5523",1349
15,3,3908,"RARITAN",1,"5525",1350
15,3,3909,"RARITAN",1,"5527",1351
15,3,3910,"RARITAN",1,"5529",1352
15,3,3911,"RARITAN",1,"5533",1353
15,3,3912,"RARITAN",1,"5537",1354
15,3,3913,"RARITAN",1,"5539",1355
15,3,3914,"RARITAN",1,"5541",1356
15,3,3915,"RARITAN",1,"5543",1357
15,3,3916,"RARITAN",1,"5531",1358
15,3,3917,"RARITAN",1,"5535",1359
15,4,3918,"RARITAN",1,"5403",1360
16,5,3919,"RvLN WATERFRONT ENTER CENTER",0,"343RL003",1361
16,5,3920,"RvLN WATERFRONT ENTER CENTER",0,"343RL005",1361
16,5,3921,"RvLN WATERFRONT ENTER CENTER",0,"343RL001",1361
16,5,3922,"RvLN WATERFRONT ENTER CENTER",0,"343RL002",1361
16,5,3923,"RvLN WATERFRONT ENTER CENTER",0,"343RL004",1361
16,5,3924,"RvLN WATERFRONT ENTER CENTER",0,"343RL006",1361
16,5,3925,"RvLN WATERFRONT ENTER CENTER",0,"343RL003",1361
16,5,3926,"RvLN WATERFRONT ENTER CENTER",0,"343RL005",1361
16,5,3927,"RvLN WATERFRONT ENTER CENTER",0,"343RL001",1361
16,5,3928,"RvLN WATERFRONT ENTER CENTER",0,"343RL002",1361
16,5,3929,"RvLN WATERFRONT ENTER CENTER",0,"343RL004",1361
16,5,3930,"RvLN WATERFRONT ENTER CENTER",0,"343RL006",1361
16,5,3931,"RvLN WATERFRONT ENTER CENTER",0,"343RL003",1361
16,5,3932,"RvLN WATERFRONT ENTER CENTER",0,"343RL005",1361
16,5,3933,"RvLN WATERFRONT ENTER CENTER",0,"343RL001",1361
16,5,3934,"RvLN WATERFRONT ENTER CENTER",0,"343RL002",1361
16,5,3935,"RvLN WATERFRONT ENTER CENTER",0,"343RL004",1361
16,5,3936,"RvLN WATERFRONT ENTER CENTER",0,"343RL006",1361
16,5,3937,"RvLN WATERFRONT ENTER CENTER",0,"343RL003",1361
16,5,3938,"RvLN WATERFRONT ENTER CENTER",0,"343RL005",1361
16,5,3939,"RvLN WATERFRONT ENTER CENTER",0,"343RL001",1361
16,5,3940,"RvLN WATERFRONT ENTER CENTER",0,"343RL002",1361
16,5,3941,"RvLN WATERFRONT ENTER CENTER",0,"343RL004",1361
16,5,3942,"RvLN WATERFRONT ENTER CENTER",0,"343RL006",1361
16,5,3943,"RvLN WATERFRONT ENTER CENTER",0,"343RL003",1361
16,5,3944,"RvLN WATERFRONT ENTER CENTER",0,"343RL005",1361
16,5,3945,"RvLN WATERFRONT ENTER CENTER",0,"343RL001",1361
16,5,3946,"RvLN WATERFRONT ENTER CENTER",0,"343RL002",1361
16,5,3947,"RvLN WATERFRONT ENTER CENTER",0,"343RL004",1361
16,5,3948,"RvLN WATERFRONT ENTER CENTER",0,"343RL006",1361
16,5,3949,"RvLN WATERFRONT ENTER CENTER",0,"343RL003",1361
16,5,3950,"RvLN WATERFRONT ENTER CENTER",0,"343RL005",1361
16,5,3951,"RvLN WATERFRONT ENTER CENTER",0,"343RL001",1361
16,5,3952,"RvLN WATERFRONT ENTER CENTER",0,"343RL002",1361
16,5,3953,"RvLN WATERFRONT ENTER CENTER",0,"343RL004",1361
16,5,3954,"RvLN WATERFRONT ENTER CENTER",0,"343RL006",1361
16,5,3955,"RvLN WATERFRONT ENTER CENTER",0,"343RL002",1362
16,5,3956,"RvLN WATERFRONT ENTER CENTER",0,"343RL006",1362
16,5,3957,"RvLN WATERFRONT ENTER CENTER",0,"343RL001",1363
